TP_wecs,FP_wecs,TP_ecs,FP_ecs,TP_agg,FP_agg
1,0.999999036542962,1,0.999999036542962,1,0.999999036542962
0.998403306095614,0.946815244588021,0.964497041420118,0.963083216674744,1,0.999996146171848
0.996900535362074,0.894009127791978,0.92965154503616,0.92601517059452,1,0.99999518271481
0.995022071945149,0.84178493904689,0.894993894993895,0.889078154671466,1,0.999994219257772
0.992955762186531,0.790440386577502,0.85958485958486,0.852054427614991,1,0.999994219257772
0.991265145111299,0.739763509835451,0.823706208321593,0.8154054853463,1,0.999986511601468
0.98948060486522,0.690544343591903,0.787639710716634,0.779187208373598,1,0.999979767402202
0.987320371935757,0.642384016633122,0.750633981403212,0.743445842634708,1,0.99996627900367
0.984784446322908,0.595597579410538,0.715788485019254,0.70859760157005,1,0.999934484921416
0.982812059735137,0.550866196050019,0.682821452052221,0.674109693437605,1,0.999894019725819
0.980557903634827,0.507754383970387,0.650136188597727,0.640088098511555,0.999906076829154,0.999835248846501
0.978021978021978,0.466470249891852,0.618859772705927,0.607270824883012,0.999906076829154,0.999754318455309
0.975392129238283,0.427348113406601,0.58824081901005,0.575268635908622,0.999906076829154,0.999639667067786
0.972386587771203,0.390031495410572,0.556306940922326,0.543783823363641,0.999718230487461,0.999484550484667
0.968911430449892,0.354863386609296,0.522682445759369,0.513171902895092,0.999624307316615,0.999271626479268
0.966657274349582,0.32192664430804,0.49262703108857,0.483404934248874,0.999530384145769,0.998943087629308
0.963651732882502,0.290665353795876,0.462289846905232,0.454547469046534,0.999436460974923,0.998516276161472
0.960176575561191,0.261622904842239,0.434206818822203,0.426777746840102,0.999154691462384,0.997901590571224
0.957546726777496,0.234565177386893,0.40725086878933,0.399885733995293,0.998403306095614,0.997100957772642
0.954071569456185,0.209780245084201,0.383206537052691,0.374009204868541,0.997464074387151,0.996034410831569
0.95069033530572,0.186704485566932,0.360758899220438,0.34890536828627,0.996430919507843,0.994644142325728
0.947215177984409,0.16560092260646,0.334648257725181,0.325175421440195,0.995115995115995,0.992716264792678
0.942331173100404,0.14644739669091,0.31389123696816,0.302597769211574,0.993331454869916,0.990333635537691
0.939325631633324,0.12912540260461,0.294073447919602,0.280994172048377,0.99098337559876,0.987325722665038
0.936038320653705,0.113322780267244,0.272377195454119,0.260347287723919,0.987883910960834,0.983493090567852
0.9311543157697,0.0991233504411188,0.253029022259792,0.240574258932933,0.984596599981215,0.978685439948205
0.925800695031464,0.0864635249617267,0.235935005165774,0.222024820580213,0.980182210951442,0.972738983109635
0.920353151122382,0.0750725724013878,0.218559218559219,0.204653690184974,0.973701512163051,0.96551016495348
0.916596224288532,0.0648888315096697,0.201183431952663,0.187987810341555,0.966187658495351,0.956744632821706
0.911524373062835,0.0558718370909764,0.184371184371184,0.17238269669698,0.95670141823988,0.946381688920918
0.906358598666291,0.0481169713920702,0.1689677843524,0.157985758178064,0.945524560909176,0.934209372702757
0.901944209636517,0.0412860609926112,0.155161078238001,0.144571545837914,0.933690241382549,0.920118813521927
0.896308819385742,0.0352981755014071,0.139194139194139,0.131771055630973,0.921292382830844,0.903836389579634
0.891143044989199,0.0300762383554174,0.127265896496666,0.119934985919075,0.906546445007983,0.885520107830112
0.885131962055039,0.0254680233426371,0.115525500140885,0.108839814669404,0.887010425471964,0.864699801238813
0.880154034000188,0.0215159225727386,0.104254719639335,0.0987081004577384,0.864562787639711,0.841573941955567
0.874049027895182,0.0182006669049617,0.0938292476754015,0.0891766199807501,0.839767070536301,0.816040403534346
0.867380482765098,0.0153074054198312,0.0844369305907767,0.0804438453882684,0.813750352211891,0.788440249766603
0.860618014464168,0.0129064704811215,0.0765473842396919,0.0723247929289961,0.787357941204095,0.758676171491499
