FA_wecs,D_wecs,FA_taad,D_taad,FA_ecs,D_ecs
0.999999568351162,1,0.999999568351162,1,0.999999568351162,1
0.990057832311333,0.997932748920581,0.9997690678716,0.999489729163941,0.947274957719996,0.982166688473113
0.980062140166737,0.996009420384666,0.778276667912693,0.984103100876619,0.894856386115065,0.963888525448122
0.969864436365897,0.99387674996729,0.383047768850321,0.904971869684679,0.843024856929993,0.946578568624886
0.959391772255167,0.992188931048018,0.206708427252926,0.761978280779798,0.792310434938002,0.92824807012953
0.948654507406662,0.990160931571373,0.123204232921166,0.596179510663352,0.742570244373673,0.911029700379432
0.937438112347833,0.987897422478085,0.0801891312549154,0.443857124165903,0.694596360854975,0.89459636268481
0.925762011276394,0.9857778359283,0.0526965534566871,0.31350255135418,0.648229505960639,0.878450870077195
0.913487213266468,0.983422739761874,0.0342698962057204,0.206633520868769,0.60359744774675,0.861481093811331
0.900610265127349,0.981041475860264,0.0228381083766637,0.128221902394348,0.560713567327291,0.845780452701819
0.886999513963408,0.97860787648829,0.0157530243475844,0.0763574512625932,0.520264618003728,0.830341488944132
0.872754670656253,0.976148109381133,0.01116546049593,0.0431767630511579,0.481676075172508,0.815124950935497
0.85766638551939,0.973740677744341,0.00800708594732676,0.0247023420122988,0.445184482396929,0.799594400104671
0.841692788615521,0.970979981682585,0.00591229413587787,0.0135418029569541,0.410892140451626,0.784207771817349
0.824877044828458,0.968415543634698,0.00441360936988766,0.00795499149548607,0.378906961546132,0.768716472589297
0.807088364560249,0.96552400889703,0.00338326359326939,0.00537746958000785,0.348811541253974,0.754638231061102
0.78868069985816,0.962056783985346,0.00266327333126717,0.00376815386628287,0.320744007203356,0.741044092633783
0.769287580858619,0.959021326704174,0.0021832798232657,0.00291770247285097,0.294906371050521,0.727685463823106
0.749161522131931,0.955109250294387,0.00181551501317824,0.00210650268219286,0.271141080969552,0.714627763967029
0.728078929579945,0.951249509354965,0.00154487119167021,0.00159623184613372,0.249354037513737,0.701399973832265
0.706226275500734,0.947651445767369,0.00134242788658686,0.00133455449430852,0.229271143670863,0.6884731126521
0.684030892244047,0.944040298312181,0.00120214201419434,0.00107287714248332,0.21102362068772,0.675650922412665
0.661114655427682,0.939788041345022,0.00106271943947808,0.000850451393431899,0.194497944919882,0.66365301583148
0.637683029898588,0.935496532775088,0.000959123718326687,0.000745780452701819,0.179384192501569,0.651550438309564
0.613728677626518,0.931244275807929,0.000868477462319215,0.000628025644380479,0.16556754484184,0.639303938244145
0.58967245622865,0.926835012429674,0.000782579343531181,0.000562606306424179,0.153213755094535,0.627436870338872
0.56536458355815,0.922399581316237,0.000709199041048941,0.000497186968467879,0.141978799135666,0.615609054036373
0.540788656959172,0.917309956823237,0.00064574666184371,0.000431767630511579,0.13177548389993,0.603977495747743
0.516321074218565,0.912652099960748,0.000585747473343526,0.000392516027737799,0.122554169770941,0.593314143660866
0.491885865140817,0.907601727070522,0.00054042434533979,0.000327096689781499,0.114203059699624,0.582781630249902
0.467682019840307,0.902525186445113,0.000493806270821661,0.00028784508700772,0.106589637492673,0.571778097605652
0.444030685052605,0.897252387805835,0.000453662928875494,0.0001962580138689,0.099565847598608,0.560617558550307
0.420613735584008,0.891390815124951,0.000417404426472505,0.00017009027868638,0.0931908259082539,0.549600942038467
0.397643542662876,0.885529242444067,0.000385462412450824,0.00014392254350386,0.0873842857377181,0.538440402983122
0.375494777480707,0.879419076278948,0.00035697358913419,0.00011775480832134,0.0821207598055508,0.527005102708361
0.354172188174721,0.872864058615727,0.000326758170465033,0.00011775480832134,0.0772172290043847,0.515465131492869
0.333620955342474,0.866819311788565,0.000303880782044099,9.15870731388198e-05,0.0726723983877053,0.503885908674604
0.314127262163648,0.860800732696585,0.000281866691299427,7.85032055475599e-05,0.0685687128835955,0.492202014915609
0.295402335565533,0.854533560120372,0.000263305791259802,7.85032055475599e-05,0.0647404193382133,0.480923721051943
0.277708618041713,0.84776920057569,0.000246039837734569,6.54193379562999e-05,0.0611823379655009,0.470116446421562
0.260893305903489,0.841698286013346,0.000225320693504289,3.92516027737799e-05,0.0578651166444655,0.458746565484757
0.245155389265239,0.834528326573335,0.000207191442302795,2.616773518252e-05,0.0547537918192186,0.447010336255397
0.230448681701283,0.827567709014785,0.000196831870187655,1.308386759126e-05,0.0518082201478138,0.434619913646474
0.216603976867075,0.820332330236818,0.000181724160853076,0,0.0490616385907874,0.422622007065289
0.203806883763011,0.812756770901478,0.000168774695709152,0,0.0464648391805924,0.409721313620306
0.191869203495665,0.80488028261154,0.000158415123594012,0,0.0440320663288871,0.397553316760434
0.180631225994929,0.797605652230799,0.000148055551478872,0,0.0417331046170023,0.384757294256182
0.170335106258994,0.790213267041738,0.000138127628201863,0,0.0395653641519093,0.37237995551485
0.160835378629411,0.782336778751799,0.000127768056086723,0,0.0375012194079677,0.360512887609577
0.152107870771244,0.774198613110035,0.000119566728162238,0,0.0355497350107783,0.348030877927515
0.143884960404852,0.766034279733089,0.000105753965342051,0,0.0337001197393877,0.335915216538009
0.136446787626182,0.757830694753369,9.79842862556967e-05,0,0.0319605749217205,0.323995813162371
0.129464867669416,0.748384142352479,9.2372851359996e-05,0,0.0302542670645893,0.311539971215491
0.123040206362677,0.739055344759911,8.07183327304638e-05,0,0.028646375142552,0.298717780976057
0.116934965196154,0.730472327620044,7.38119513203706e-05,0,0.0271334459649035,0.286301190631951
0.11137058002381,0.720842601072877,6.25890815289693e-05,0,0.0257241125084064,0.273740677744341
