vp_wecs,FP_wecs,vp_deep,FP_deep
0.01,0.0809766006665662,0.01,0.0607324504999247
0.0198,0.152985532009732,0.0198,0.108366918633806
0.0296,0.219083977659388,0.0296,0.148104947923189
0.0394,0.281916160225284,0.0394,0.182601883582326
0.0492,0.340464533416877,0.0492,0.212569531700456
0.059,0.395251338139141,0.059,0.237658667371318
0.0688,0.446501037134079,0.0688,0.260222398976902
0.0786,0.494494833333837,0.0786,0.280647140426329
0.0884,0.539579711971672,0.0884,0.298211621383157
0.0982,0.582039308753269,0.0982,0.313952131761438
0.108,0.622019966878537,0.108,0.327648127310277
0.1178,0.65970562537805,0.1178,0.339732508905168
0.1276,0.695401712487345,0.1276,0.351015432268326
0.1374,0.729101437608113,0.1374,0.360999370743923
0.1472,0.76102710257868,0.1472,0.369629819043056
0.157,0.791286896695305,0.157,0.377835716654683
0.1668,0.81981788333668,0.1668,0.384830697641459
0.1766,0.846219836174452,0.1766,0.390925946424618
0.1864,0.866706614884165,0.1864,0.396298332086829
0.1962,0.873306853609991,0.1962,0.40127349268138
0.206,0.882164233733798,0.206,0.405890711794342
0.2158,0.889268983182232,0.2158,0.409722456270432
0.2256,0.89256348296537,0.2256,0.412802157472392
0.2354,0.891109818933631,0.2354,0.415705609665488
0.2452,0.885672239320838,0.2452,0.418637402979643
0.255,0.877493021091811,0.255,0.421076302729529
0.2648,0.867143367622349,0.2648,0.423001771472451
0.2746,0.855650345269877,0.2746,0.424987695565929
0.2844,0.843941844044283,0.2844,0.426540423072139
0.2942,0.832087247550921,0.2942,0.427917348961476
0.304,0.820087444025246,0.304,0.429043404675435
0.3138,0.8081510521285,0.3138,0.43036488564423
0.3236,0.796387034428316,0.3236,0.431235240875714
0.3334,0.784749719086093,0.3334,0.431811493391835
0.3432,0.773406934462556,0.3432,0.432489923133067
0.353,0.762334303265438,0.353,0.432974458454575
0.3628,0.751388190994727,0.3628,0.433118770632048
0.3726,0.740831601872481,0.3726,0.433295992189651
0.3824,0.730298046896654,0.3824,0.433436809007311
0.3922,0.720191600791263,0.3922,0.433408872147399
0.402,0.710255962482518,0.402,0.433239151558029
0.4118,0.700567579605943,0.4118,0.432954015908693
0.4216,0.691126998999324,0.4216,0.432549928823097
0.4314,0.681960420028852,0.4314,0.4319778998272
0.4412,0.672887207577153,0.4412,0.431475843253619
0.451,0.664147354791845,0.451,0.431015815936819
0.4608,0.655571000373136,0.4608,0.430358224092002
0.4706,0.647191786638056,0.4706,0.430063902371302
0.4804,0.638998974991658,0.4804,0.429466530353409
0.4902,0.63106109788646,0.4902,0.428727876033654
0.5,0.623277398248572,0.5,0.428120159277171
0.5098,0.615682673556257,0.5098,0.427367477334464
0.5196,0.608282185774991,0.5196,0.426447731166164
0.5294,0.601053549850728,0.5294,0.425763064528373
0.5392,0.593948479133004,0.5392,0.424938409648029
0.549,0.587006034308069,0.549,0.424093064003951
0.5588,0.580232191630603,0.5588,0.42316067771097
0.5686,0.573630268754891,0.5686,0.422161001949867
0.5784,0.567261906850584,0.5784,0.421241500955028
0.5882,0.560961599583923,0.5882,0.420447860383137
0.598,0.554836602128381,0.598,0.41951979495169
0.6078,0.548828881309856,0.6078,0.418504883283264
0.6176,0.54292263635897,0.6176,0.417581976086263
0.6274,0.537199474804983,0.6274,0.416592190482495
0.6372,0.531526086453722,0.6372,0.415868977510512
0.647,0.52598496896045,0.647,0.414764770488584
0.6568,0.520548296018388,0.6568,0.413893921836019
0.6666,0.515246444607223,0.6666,0.412784426144724
0.6764,0.510045838510614,0.6764,0.411974397260131
0.6862,0.505003171533473,0.6862,0.41090263702161
0.696,0.499974444473975,0.696,0.410076237245237
0.7058,0.495080613997641,0.7058,0.409175975025745
0.7156,0.490293488076859,0.7156,0.408192115849397
0.7254,0.485591969001774,0.7254,0.407359105728924
0.7352,0.480930303737814,0.7352,0.40644479019312
0.745,0.476421901981465,0.745,0.405589515579201
0.7548,0.471994907290767,0.7548,0.404739604468814
0.7646,0.467677400556469,0.7646,0.403710171644477
0.7744,0.463413392175168,0.7744,0.402813846690618
0.7842,0.459154645452796,0.7842,0.401818918772519
0.794,0.455058268934397,0.794,0.400809604244872
0.8038,0.451004216996641,0.8038,0.399949418032471
0.8136,0.447016723343144,0.8136,0.399119804933668
0.8234,0.443113729369969,0.8234,0.398195799793138
0.8332,0.439260440217551,0.8332,0.397240241077882
0.843,0.435484540397721,0.843,0.396351828810061
0.8528,0.431767801806106,0.8528,0.395570409537587
0.8626,0.42812598930574,0.8626,0.3946190441084
0.8724,0.424553678504098,0.8724,0.393674171338281
0.8822,0.421055860766063,0.8822,0.392737324958436
0.892,0.417612011660921,0.892,0.391904597379756
0.9018,0.414227437672678,0.9018,0.391069453016978
0.9116,0.410895639502298,0.9116,0.390153902361054
0.9214,0.407598811471327,0.9214,0.389319708120542
0.9312,0.4043703623273,0.9312,0.388453792064084
0.941,0.401160008840938,0.941,0.387696198801292
0.9508,0.398047596068535,0.9508,0.386776068518811
0.9606,0.394968603544594,0.9606,0.385942670112247
0.9704,0.391950653677633,0.9704,0.385255503396154
0.9802,0.388982869571963,0.9802,0.384576268131982
0.99,0.386057830946964,0.99,0.383814610160718
