TP_ha,FP_ha,TP_d2,FP_d2,TP_d4,FP_d4,TP_c4,FP_c4,TP_s2,FP_s2,TP_s4,FP_s4
1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158
0.996409783741794,0.942877532579366,0.997870824663015,0.942343864630813,0.986685610558134,0.945504628663343,0.983996973270598,0.947143126744263,0.997870824663015,0.942343864630813,0.991008359730009,0.944274817746771
0.992783343328517,0.886272485605338,0.995858371603482,0.885022677763294,0.973652964544602,0.891765391071123,0.968207266565507,0.89411128039064,0.995858371603482,0.885022677763294,0.982387010822973,0.888469647791652
0.98919715197643,0.830351083520909,0.993620523801282,0.828015192664128,0.960906086865524,0.838174880612106,0.952067393028058,0.841439378695526,0.993620523801282,0.828015192664128,0.973898483817865,0.834147999745039
0.985619010436582,0.775258304035754,0.99152354771325,0.772123785967907,0.947966013692731,0.785372998901419,0.936104615359847,0.789468619199798,0.99152354771325,0.772123785967907,0.965228836037399,0.779891341706213
0.981783274905113,0.721259106412389,0.989313874253883,0.716213632154056,0.93540025678901,0.73340723863706,0.920274659593565,0.738547698291388,0.989313874253883,0.716213632154056,0.956293544453076,0.726951981132901
0.978217208083621,0.66862094952901,0.986854656615134,0.662349413777632,0.92274997685679,0.682637544477537,0.904565451010855,0.689061556785644,0.986854656615134,0.662349413777632,0.947845266509159,0.675207436856583
0.97439354727051,0.617165110864205,0.984475937098767,0.610328661968222,0.910852354368834,0.633428860312727,0.8893110568196,0.64092020851794,0.984475937098767,0.610328661968222,0.939795454271029,0.625168880284656
0.970372666057564,0.567289029311743,0.981944271149875,0.559802680337898,0.898954731880879,0.585758689601474,0.874471227958608,0.594392362174316,0.981944271149875,0.559802680337898,0.931669168816637,0.57662259427613
0.966408133530285,0.519293908561559,0.979424679919341,0.511498857050729,0.887560222657807,0.539939484304288,0.859949366681022,0.549667988546761,0.979424679919341,0.511498857050729,0.923631431296865,0.529923524258145
0.962592522529412,0.473770907722938,0.976619320354353,0.465325956134244,0.876370983646806,0.496104973860269,0.846031241321296,0.506434635674765,0.976619320354353,0.465325956134244,0.915617843213807,0.484989182913127
0.958571641316466,0.430241350392377,0.973777736634293,0.421276478741394,0.865415189190712,0.454497620990773,0.832982495683288,0.465587165973232,0.973777736634293,0.421276478741394,0.907849774404012,0.442217009134846
0.954663457474854,0.389383882228107,0.971068974816162,0.379127959076292,0.854636490603857,0.414948701637123,0.82109694791369,0.426453182823141,0.971068974816162,0.379127959076292,0.900460046769409,0.4021569183738
0.95055000342117,0.351197253422286,0.968183117128793,0.340178947486824,0.844988790636458,0.377723175061834,0.809155051458425,0.389910051329608,0.968183117128793,0.340178947486824,0.892683928147376,0.364518955210636
0.946444599179724,0.314962824465738,0.965200661694566,0.303360858268041,0.835562460505609,0.342678563170912,0.797378176154041,0.355745304159485,0.965200661694566,0.303360858268041,0.885612168096179,0.328985668453475
0.94224662209754,0.281254257157962,0.962061234921695,0.269793519246416,0.826848538757833,0.310237301014969,0.786732299469115,0.324013932857823,0.962061234921695,0.269793519246416,0.878500158983792,0.296069479317555
0.938189516729522,0.250420247886887,0.958740687373467,0.238564570697255,0.818360011752726,0.280029445472759,0.777136923281264,0.294679692997202,0.958740687373467,0.238564570697255,0.871617569520191,0.265482931999205
0.933955315492266,0.221785900417811,0.955142421303023,0.209840237063551,0.810229701392215,0.252238718297062,0.768012461109345,0.267310151064274,0.955142421303023,0.209840237063551,0.865226018603116,0.237354756706156
0.929882110499773,0.195261228586105,0.951491831453031,0.183992961082234,0.801950469505299,0.226660151001783,0.759354888047236,0.241794074161098,0.951491831453031,0.183992961082234,0.858931065432899,0.211659957281568
0.925696208135945,0.171549874206841,0.947672195546039,0.160335348440177,0.795031655886626,0.203046281634199,0.751055531629725,0.218421417707028,0.947672195546039,0.160335348440177,0.852664286605515,0.188443526807753
0.921417732931379,0.149915700461054,0.943478243369973,0.138821156247227,0.787875372806929,0.181694564460714,0.743267338289334,0.197169685160907,0.943478243369973,0.138821156247227,0.846602777990203,0.16723928695963
0.917119133196218,0.130708653544518,0.939203793071527,0.11949162816217,0.781471747171497,0.162083829611197,0.735825286875184,0.177853904962112,0.939203793071527,0.11949162816217,0.840561393905487,0.147975998690201
0.912909081395676,0.113558790335986,0.934486603099983,0.102118049349912,0.775269366842018,0.14436780345022,0.728982946472774,0.160096635142347,0.934486603099983,0.102118049349912,0.83435096376377,0.130754896434673
0.908703054501254,0.0984823583374056,0.929378997234889,0.0869103875279176,0.769344705034755,0.128451500581786,0.722394175155864,0.14386663050556,0.929378997234889,0.0869103875279176,0.827907089067147,0.115455998640209
0.904078437370448,0.0851744044353181,0.92395342378639,0.0737161661394561,0.763186598672586,0.113531294563461,0.716634534499483,0.128432753464155,0.92395342378639,0.0737161661394561,0.82135454190531,0.101549386781782
0.899514193831429,0.0733674697515257,0.918181708411651,0.0620279632006579,0.757503431232467,0.0994497096071479,0.71105198971234,0.113820000174973,0.918181708411651,0.0620279632006579,0.814403529037685,0.0890325612437088
0.894519285337669,0.0630403075527138,0.911536588409075,0.0521419831700876,0.752242878934849,0.0861929978265842,0.705634466076079,0.0997109194461352,0.911536588409075,0.0521419831700876,0.80633359226896,0.0775305796733752
0.889512302125553,0.0540804351330983,0.903434452391398,0.0435370561776127,0.7473767674369,0.0735224459239392,0.70067980664351,0.0868803921397085,0.903434452391398,0.0435370561776127,0.798122783786068,0.0668059785807932
