vp_wecs,FP_wecs,vp_ecs,FP_ecs,vp_agg,FP_agg
0.01,0.080968876839719,0.01,0.0420562371832748,0.01,0.0195490057503891
0.0198,0.152242631354122,0.0198,0.0701001058633434,0.0198,0.0371747488067158
0.0296,0.217781610141293,0.0296,0.0937847730338365,0.0296,0.0536189000719164
0.0394,0.279362384260458,0.0394,0.114160687724965,0.0394,0.0694281957572808
0.0492,0.336525098069277,0.0492,0.131687791416564,0.0492,0.0831014221294948
0.059,0.389689319700051,0.059,0.147641620397075,0.059,0.0963073482448706
0.0688,0.439264492584101,0.0688,0.161973829910011,0.0688,0.10830487063117
0.0786,0.485875159805483,0.0786,0.17453327731956,0.0786,0.119865446049971
0.0884,0.529367105675852,0.0884,0.185878814704512,0.0884,0.130553690930889
0.0982,0.57015619353315,0.0982,0.196486854872902,0.0982,0.140895729647746
0.108,0.608251612528649,0.108,0.206226724431088,0.108,0.150694361886541
0.1178,0.64376907050205,0.1178,0.215030580012098,0.1178,0.159994623294576
0.1276,0.676890315525663,0.1276,0.223146571231992,0.1276,0.168512312590418
0.1374,0.7074010195477,0.1374,0.230491150927197,0.1374,0.176823505134679
0.1472,0.735312299064307,0.1472,0.237341827146272,0.1472,0.184502101523574
0.157,0.759782027166716,0.157,0.243929127358205,0.157,0.191779296454189
0.1668,0.780626188423427,0.1668,0.250588749394716,0.1668,0.198873286012921
0.1766,0.797445760460483,0.1766,0.25648014906649,0.1766,0.205635192974688
0.1864,0.809793921262964,0.1864,0.262099353920182,0.1864,0.212111518602954
0.1962,0.817025698835714,0.1962,0.267257323023268,0.1962,0.218255156500449
0.206,0.819519441932567,0.206,0.272049261507988,0.206,0.224075270206261
0.2158,0.818294799636008,0.2158,0.276819116308854,0.2158,0.229820363317718
0.2256,0.814346861520952,0.2256,0.281065210757672,0.2256,0.234917898938583
0.2354,0.808584096525658,0.2354,0.285466233787211,0.2354,0.240244060021644
0.2452,0.801603753431811,0.2452,0.289494505146727,0.2452,0.244946238260636
0.255,0.793296370967742,0.255,0.293052109181141,0.255,0.24962391439206
0.2648,0.784644451033612,0.2648,0.296466938849987,0.2648,0.254251914026564
0.2746,0.775660337961789,0.2746,0.299922444779191,0.2746,0.258646661396889
0.2844,0.766465203743406,0.2844,0.303039504781696,0.2844,0.26286155399621
0.2942,0.757167686517855,0.2942,0.305869171765923,0.2942,0.266974776638226
0.304,0.747727513134234,0.304,0.308719720743274,0.304,0.270938965480766
0.3138,0.738470915815867,0.3138,0.311454971116683,0.3138,0.274474628395694
0.3236,0.729228340240774,0.3236,0.314152426451073,0.3236,0.278039784133984
0.3334,0.720072636310129,0.3334,0.316880919257317,0.3334,0.281448980683825
0.3432,0.711114471893267,0.3432,0.31931339220547,0.3432,0.284890946272052
0.353,0.702146783058519,0.353,0.321574523116715,0.353,0.28798577432913
0.3628,0.693443540538993,0.3628,0.323710874639834,0.3628,0.291008084264624
0.3726,0.684951310486394,0.3726,0.325681528024633,0.3726,0.293989536135379
0.3824,0.676740146713723,0.3824,0.327737639892336,0.3824,0.296494761544005
0.3922,0.668704951455575,0.3922,0.329723133824967,0.3922,0.299103387120001
0.402,0.660633659760501,0.402,0.331782543087043,0.402,0.301871247095067
0.4118,0.652929701568672,0.4118,0.333400464824324,0.4118,0.304446701761246
0.4216,0.645281253756157,0.4216,0.335256968168067,0.4216,0.306841237131317
0.4314,0.637777197496037,0.4314,0.336981973690406,0.4314,0.309111327052021
0.4412,0.630473150185983,0.4412,0.338839941779112,0.4412,0.311462061497571
0.451,0.623216392347244,0.451,0.34015146369155,0.451,0.314009213140161
0.4608,0.616163479977093,0.4608,0.341683102412809,0.4608,0.316342667196984
0.4706,0.609332900218759,0.4706,0.343091440640614,0.4706,0.318517130714787
0.4804,0.602579936691443,0.4804,0.344541066141621,0.4804,0.320392879980962
0.4902,0.595982766422065,0.4902,0.345823086961369,0.4902,0.322535460644095
0.5,0.589597290683424,0.5,0.347200420321945,0.5,0.324755642576232
0.5098,0.583297680637841,0.5098,0.348579915889438,0.5098,0.326702996231244
0.5196,0.577148670163483,0.5196,0.349714418254037,0.5196,0.328529307582444
