vp_wecs,FP_wecs,vp_nowecs,FP_nowecs,vp_agg,FP_agg
0.01,0.0809766006665662,0.01,0.0255658668643966,0.01,0.072928373091732
0.0198,0.152985532009732,0.0198,0.0476125030180339,0.0198,0.132243745705106
0.0296,0.219083977659388,0.0296,0.0677660461338648,0.0296,0.183462079279834
0.0394,0.281916160225284,0.0394,0.0867455576376882,0.0394,0.227534536368876
0.0492,0.340464533416877,0.0492,0.103445172858557,0.0492,0.266648447055922
0.059,0.395251338139141,0.059,0.119109690350897,0.059,0.301154618312124
0.0688,0.446501037134079,0.0688,0.133682683759884,0.0688,0.331832998019308
0.0786,0.494494833333837,0.0786,0.147247718899511,0.0786,0.358967694358224
0.0884,0.539579711971672,0.0884,0.159491362960835,0.0884,0.382286814774862
0.0982,0.582039308753269,0.0982,0.171314911090054,0.0982,0.403058422470925
0.108,0.622019966878537,0.108,0.181758865797251,0.108,0.421853530145231
0.1178,0.65970562537805,0.1178,0.191620404597083,0.1178,0.437765978896431
0.1276,0.695401712487345,0.1276,0.200669193801978,0.1276,0.45211654122553
0.1374,0.729101437608113,0.1374,0.20897415973933,0.1374,0.464762933505211
0.1472,0.76102710257868,0.1472,0.21722281115086,0.1472,0.47674421491399
0.157,0.791286896695305,0.157,0.225109482689752,0.157,0.487049692673798
0.1668,0.81981788333668,0.1668,0.232207013026892,0.1668,0.496283261092936
0.1766,0.846219836174452,0.1766,0.23910135783337,0.1766,0.504741347502029
0.1864,0.866706614884165,0.1864,0.245294069942421,0.1864,0.5119168836786
0.1962,0.873306853609991,0.1962,0.251272611981047,0.1962,0.518085181336199
0.206,0.882164233733798,0.206,0.257171769366576,0.206,0.523390604142445
0.2158,0.889268983182232,0.2158,0.262668093424556,0.2158,0.527973442081494
0.2256,0.89256348296537,0.2256,0.267568637477011,0.2256,0.531990961048387
0.2354,0.891109818933631,0.2354,0.272225452665924,0.2354,0.53584581092213
0.2452,0.885672239320838,0.2452,0.276696916710842,0.2452,0.53851540062188
0.255,0.877493021091811,0.255,0.28131591191067,0.255,0.541287996277916
0.2648,0.867143367622349,0.2648,0.285343916550723,0.2648,0.543374464946894
0.2746,0.855650345269877,0.2746,0.288900654745037,0.2746,0.545149815806351
0.2844,0.843941844044283,0.2844,0.292422457506201,0.2844,0.546346228423833
0.2942,0.832087247550921,0.2942,0.296004625240599,0.2942,0.546880835416128
0.304,0.820087444025246,0.304,0.299284228341737,0.304,0.547367864320722
0.3138,0.8081510521285,0.3138,0.302623741116822,0.3138,0.547183010791417
0.3236,0.796387034428316,0.3236,0.305890719530702,0.3236,0.547246211115875
0.3334,0.784749719086093,0.3334,0.308731071753438,0.3334,0.546895901332335
0.3432,0.773406934462556,0.3432,0.311689165641993,0.3432,0.546646195119706
0.353,0.762334303265438,0.353,0.314565147106369,0.353,0.545842224377627
0.3628,0.751388190994727,0.3628,0.317060915029354,0.3628,0.544927775904948
0.3726,0.740831601872481,0.3726,0.319438881518011,0.3726,0.543623426039502
0.3824,0.730298046896654,0.3824,0.321821664603312,0.3824,0.542277203939467
0.3922,0.720191600791263,0.3922,0.324072123145952,0.3922,0.541163095626075
0.402,0.710255962482518,0.402,0.326104770135273,0.402,0.539836204310271
0.4118,0.700567579605943,0.4118,0.328278871073727,0.4118,0.538367117133672
0.4216,0.691126998999324,0.4216,0.330188419670023,0.4216,0.53662026289837
0.4314,0.681960420028852,0.4314,0.332130437822574,0.4314,0.534773383332691
0.4412,0.672887207577153,0.4412,0.333946012080131,0.4412,0.532898317360091
0.451,0.664147354791845,0.451,0.335770855369226,0.451,0.531065582974405
0.4608,0.655571000373136,0.4608,0.337462430139536,0.4608,0.529054708824185
0.4706,0.647191786638056,0.4706,0.339109841719986,0.4706,0.52684613964171
0.4804,0.638998974991658,0.4804,0.340858481046652,0.4804,0.524647395800789
0.4902,0.63106109788646,0.4902,0.342494409579456,0.4902,0.522510541467477
0.5,0.623277398248572,0.5,0.343895302565801,0.5,0.520407225706932
0.5098,0.615682673556257,0.5098,0.345374366073789,0.5098,0.517942777743012
0.5196,0.608282185774991,0.5196,0.346686533222908,0.5196,0.515632937640947
0.5294,0.601053549850728,0.5294,0.34785562907479,0.5294,0.513135773032558
0.5392,0.593948479133004,0.5392,0.349086128193944,0.5392,0.510817170345705
0.549,0.587006034308069,0.549,0.350450965331547,0.549,0.508435047766044
0.5588,0.580232191630603,0.5588,0.351688704537528,0.5588,0.505951004138318
0.5686,0.573630268754891,0.5686,0.352818191181676,0.5686,0.503323771447649
0.5784,0.567261906850584,0.5784,0.353960294707638,0.5784,0.50064974635914
0.5882,0.560961599583923,0.5882,0.355035973301742,0.5882,0.497946776849952
0.598,0.554836602128381,0.598,0.356260015693871,0.598,0.495316395983557
0.6078,0.548828881309856,0.6078,0.35729760425028,0.6078,0.492568671347303
0.6176,0.54292263635897,0.6176,0.358366794858346,0.6176,0.489936990404596
0.6274,0.537199474804983,0.6274,0.359465095495018,0.6274,0.487180166164642
0.6372,0.531526086453722,0.6372,0.360263842916149,0.6372,0.484454607541299
0.647,0.52598496896045,0.647,0.361088034938644,0.647,0.481854216610097
0.6568,0.520548296018388,0.6568,0.361827994852522,0.6568,0.479076100294721
0.6666,0.515246444607223,0.6666,0.362722891515398,0.6666,0.476330805100936
0.6764,0.510045838510614,0.6764,0.363659145252738,0.6764,0.473508682168924
0.6862,0.505003171533473,0.6862,0.364565189992417,0.6862,0.470682427225187
0.696,0.499974444473975,0.696,0.365374511122787,0.696,0.467899192649822
0.7058,0.495080613997641,0.7058,0.366179145364164,0.7058,0.465183938300804
0.7156,0.490293488076859,0.7156,0.366925173255481,0.7156,0.46244245675371
0.7254,0.485591969001774,0.7254,0.367753124101914,0.7254,0.459639873549436
0.7352,0.480930303737814,0.7352,0.368585964216974,0.7352,0.456960502900823
0.745,0.476421901981465,0.745,0.369268153397006,0.745,0.454192816532348
0.7548,0.471994907290767,0.7548,0.37000417340598,0.7548,0.451429824274606
0.7646,0.467677400556469,0.7646,0.370733407351404,0.7646,0.448705667714727
0.7744,0.463413392175168,0.7744,0.371337237262723,0.7744,0.446019217893953
0.7842,0.459154645452796,0.7842,0.372004191470246,0.7842,0.443158321394616
0.794,0.455058268934397,0.794,0.372582611639726,0.794,0.440477622102048
0.8038,0.451004216996641,0.8038,0.37322527852154,0.8038,0.437654976001056
0.8136,0.447016723343144,0.8136,0.37377243834731,0.8136,0.434892254174481
0.8234,0.443113729369969,0.8234,0.374223141610829,0.8234,0.432130233394792
0.8332,0.439260440217551,0.8332,0.374522669893871,0.8332,0.429389899717233
