TP_J1,FP_J1,TP_J2,FP_J2,TP_J3,FP_J3,TP_J4,FP_J4,TP_J5,FP_J5
1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158
0.994864219792073,0.954871938439465,0.997870824663015,0.942343864630813,0.998981698751877,0.941628974545164,0.999283566710806,0.954945677102146,0.99883680213159,0.976863557228076
0.989873336204433,0.910075075957072,0.995858371603482,0.885022677763294,0.997894974099729,0.88339417814511,0.998563108515494,0.909668888408407,0.997858749944658,0.953574637899423
0.984874402804555,0.865204474811998,0.993620523801282,0.828015192664128,0.996699576982367,0.826321703038158,0.997911073724205,0.865308208862887,0.996707626794605,0.93022447798651
0.979931818090343,0.821212488579881,0.99152354771325,0.772123785967907,0.995661151203648,0.769676662213185,0.997166466092178,0.821596179587388,0.995806047823935,0.907073037520481
0.974288899711414,0.777489211033804,0.989313874253883,0.716213632154056,0.994453679367929,0.7144551525203,0.996490281864176,0.778351578444814,0.994759572232978,0.884545251167633
0.968613782083533,0.734210865079494,0.986854656615134,0.662349413777632,0.993189858846542,0.660678420692818,0.995765798762744,0.736086826650402,0.993600399270687,0.862226182724406
0.963200283353391,0.691678654406885,0.984475937098767,0.610328661968222,0.99199446172918,0.608926377569449,0.995029240942955,0.695561807372117,0.992662596144945,0.839973354096808
0.957070351334055,0.650442494466476,0.981944271149875,0.559802680337898,0.990674292522127,0.558785336754474,0.994260483874214,0.655914153198946,0.991547697149964,0.818410419398018
0.950972618563672,0.609701258431516,0.979424679919341,0.511498857050729,0.989257525568216,0.5112126510549,0.993487701899353,0.61776126920486,0.990356324938721,0.797363655337992
0.94448446989974,0.570043605795609,0.976619320354353,0.465325956134244,0.987860883144901,0.46603834660421,0.992614297271516,0.581398110040581,0.989144828196882,0.776995536936196
0.937658229121806,0.532050697205305,0.973777736634293,0.421276478741394,0.986532664125609,0.423626117484437,0.991765042080394,0.546554717212229,0.988054078638616,0.757319812078893
0.930501946042109,0.495185115288524,0.971068974816162,0.379127959076292,0.984975025457531,0.383298567845194,0.99083528876689,0.514078460436708,0.986790258117229,0.737901547637051
0.923100143689149,0.459866795480195,0.968183117128793,0.340178947486824,0.983409336977215,0.346200521669793,0.989913585265624,0.483230703279371,0.985562661750915,0.719134433080914
0.91500203257759,0.425662054459127,0.965200661694566,0.303360858268041,0.981787299811232,0.311169657665134,0.988903333829738,0.454228912304733,0.984258592168338,0.700822248579281
0.906509480666363,0.39256464318611,0.962061234921695,0.269793519246416,0.980088789428987,0.279776984288666,0.987885032581615,0.427329298120414,0.98286999955726,0.683162463771195
0.897477591335182,0.360873265735393,0.958740687373467,0.238564570697255,0.978237332614217,0.250493986549568,0.986854656615134,0.402684337283143,0.981541780537969,0.666506274660271
0.887793667212712,0.33098161157722,0.955142421303023,0.209840237063551,0.976381850893328,0.224606716717305,0.985659259497772,0.379501651621063,0.980112938865701,0.649867582859135
0.877642853980431,0.302318518527776,0.951491831453031,0.183992961082234,0.97443782123782,0.201236559878919,0.984403488788624,0.358397396400303,0.978507001324194,0.633987524418121
0.866739383303884,0.27556138243745,0.947672195546039,0.160335348440177,0.972344870055906,0.180284781214888,0.983139668267238,0.339380320275758,0.976860814721497,0.618463661212089
0.85509532990143,0.250453992698623,0.943478243369973,0.138821156247227,0.970272043404588,0.161977595944624,0.981867797933613,0.321498069671788,0.975170354151489,0.603768420605332
0.843270155723618,0.226585162531261,0.939203793071527,0.11949162816217,0.968086519381935,0.145548871860951,0.98024576076763,0.305373048893733,0.973520142642673,0.589185662704359
0.830611825979159,0.204231099468457,0.934486603099983,0.102118049349912,0.965731949302283,0.131358553622381,0.97865189794448,0.290549078079245,0.971817607354308,0.574800374442429
0.81774017621039,0.183266822726006,0.929378997234889,0.0869103875279176,0.963341155067558,0.118684252296209,0.976969487186711,0.277208629173265,0.969913826759991,0.560943754897684
0.80401122143826,0.16384605866848,0.92395342378639,0.0737161661394561,0.960801439306428,0.107650948666643,0.975291101335061,0.264763042682188,0.968126768443126,0.54709963343136
0.789847576805271,0.145977555950773,0.918181708411651,0.0620279632006579,0.95820939976575,0.098124913294581,0.973580516234459,0.253499774409685,0.966239087473285,0.533644202203911
0.77448853505492,0.129913775756977,0.911536588409075,0.0521419831700876,0.955230969237643,0.0899224244272443,0.971572088081046,0.243045131810984,0.96410588723018,0.520364993882191
0.758727002692662,0.114996069354337,0.903434452391398,0.0435370561776127,0.95218814021163,0.0827210316413851,0.969370464433917,0.233459105662504,0.961936462832004,0.50709203459968
0.742305385726878,0.101238184629113,0.894024221885025,0.0362831714623877,0.948730745855353,0.0762932699097514,0.967184940411265,0.224454240160575,0.959682515405328,0.494157773242364
0.725271983030996,0.0887988471772465,0.882871207029096,0.0299203997385402,0.945575219458006,0.0706303905774487,0.964729747678635,0.216216756673661,0.95722329776658,0.480951053775482
0.708162107118851,0.0776505612262115,0.870152503692851,0.0247486948881609,0.941964878669205,0.0656336588249557,0.96208538435841,0.208220486100262,0.954615158601426,0.467714338920391
0.689780360873083,0.0675546134781777,0.855598443166313,0.0204493559115286,0.938169392198927,0.0611718448288576,0.959211601389398,0.200680395389209,0.951946645844486,0.454623851582819
0.670287740538452,0.0583935219959931,0.8402474512282,0.0168924027930706,0.933802369059742,0.0569699908639047,0.956184871987861,0.193342773548567,0.949137261373379,0.441143424198529
0.650376529967439,0.0502247779403917,0.824815961167706,0.0139678524426869,0.929173727022817,0.0530943367457253,0.952997146341562,0.186117634413709,0.945957585539317,0.427395537936042
0.628879506385514,0.0431383674760006,0.811835638933722,0.0116657063976414,0.923764253198794,0.049302419752963,0.949439129332308,0.179047471451264,0.942669237240041,0.414052589414378
0.606931693318253,0.0371180431008732,0.801137438469248,0.00984723598746693,0.917827516673174,0.0457104720149277,0.945784514576197,0.172224770441545,0.939167568916455,0.400007248885484
0.584174874121061,0.0315176541606728,0.793461942500191,0.00829247503196383,0.911291069135812,0.0420872790808413,0.941896455265181,0.165233345373149,0.935649800968392,0.385808181992019
0.560138134778006,0.0266109085728069,0.788149066423026,0.00709265950360132,0.903675946758542,0.0384815834565436,0.937835324991045,0.158170681257757,0.931548421633065,0.371657857604393
0.535469485174258,0.0223665611412245,0.784349555046629,0.0061465549671738,0.894736630268099,0.0347371591617789,0.93342402788455,0.150901798848427,0.927157249057166,0.357141339519049
0.509685936575529,0.0188608501442903,0.781399298861354,0.00535292698747568,0.884118927926006,0.0310689731453789,0.928392895235719,0.143682908752779,0.922556781363075,0.342519837574973
0.483383175087441,0.0157650761195466,0.779012529532749,0.00471927441155922,0.871182879659332,0.0273058017329836,0.923148442562577,0.136244052476932,0.917654445710054,0.327829596199584
0.456758421109828,0.0130792390669935,0.776344016775809,0.00421185242768924,0.855924460561957,0.023563877053903,0.917243905285909,0.128828942550083,0.912599163624508,0.312595688412907
0.428914120578137,0.010835833990524,0.773727827798417,0.00376067179671126,0.837216696920544,0.0203281245508503,0.910747706809739,0.121317597419397,0.907177615082128,0.297273044269444
0.401323389131948,0.00895237357256322,0.770242259099307,0.00334948501667869,0.81524473441657,0.0175860461454051,0.903631672791232,0.113440058590992,0.901244903462627,0.281890409349562
0.373491163318616,0.00738761415432377,0.766201253355765,0.00300078862874833,0.795941284669535,0.0157838232371773,0.895561736022507,0.105377548201964,0.894897626512862,0.265697898948037
