TP_wecs,FP_wecs,TP_deep,FP_deep
0.997870824663015,0.942343864630813,0.98020148680032,0.964610441144674
0.995858371603482,0.885022677763294,0.960889987241048,0.928973420336623
0.993620523801282,0.828015192664128,0.941654960898037,0.893533869167615
0.99152354771325,0.772123785967907,0.922444083991741,0.85865798133537
0.989313874253883,0.716213632154056,0.902911214595919,0.823797091197228
0.986854656615134,0.662349413777632,0.883422619167408,0.789168665317707
0.984475937098767,0.610328661968222,0.863603981437133,0.754922680637852
0.981944271149875,0.559802680337898,0.843789368612977,0.721080383890977
0.979424679919341,0.511498857050729,0.823656788205415,0.688009218582643
0.976619320354353,0.465325956134244,0.803351136834733,0.655274251583819
0.973777736634293,0.421276478741394,0.78356872325953,0.623260423709855
0.971068974816162,0.379127959076292,0.763496516443754,0.591542800294455
0.968183117128793,0.340178947486824,0.743363936036192,0.560535067733336
0.965200661694566,0.303360858268041,0.723022060510439,0.530144740246187
0.962061234921695,0.269793519246416,0.70274458348259,0.500093110684232
0.958740687373467,0.238564570697255,0.682068640748955,0.471287539540796
0.955142421303023,0.209840237063551,0.66160199313351,0.443133118283064
0.951491831453031,0.183992961082234,0.641010573428375,0.415983542530336
0.947672195546039,0.160335348440177,0.620073011797,0.389667588608251
0.943478243369973,0.138821156247227,0.599863958173176,0.364380226540169
0.939203793071527,0.11949162816217,0.579276563374159,0.339822752251841
0.934486603099983,0.102118049349912,0.558202154934736,0.316193885190152
0.929378997234889,0.0869103875279176,0.537477913327672,0.293698593841197
0.92395342378639,0.0737161661394561,0.51635520601482,0.272250641463875
0.918181708411651,0.0620279632006579,0.495558516097612,0.251683803615194
0.911536588409075,0.0521419831700876,0.474500207282665,0.231841854314899
0.903434452391398,0.0435370561776127,0.454162356663031,0.213445932687849
0.894024221885025,0.0362831714623877,0.433909029071897,0.195629921899508
0.882871207029096,0.0299203997385402,0.413337733897357,0.178972482980742
0.870152503692851,0.0247486948881609,0.393925611685107,0.163191159359249
