vp_ha,FP_ha,vp_d2,FP_d2,vp_d4,FP_d4,vp_c4,FP_c4,vp_s2,FP_s2,vp_s4,FP_s4
0.5294,0.590829163394805,0.5294,0.601053549850728,0.5294,0.530545603426713,0.5294,0.509895229905584,0.5294,0.601053549850728,0.5294,0.558172353587558
0.5392,0.584145629696072,0.5392,0.593948479133004,0.5392,0.525780707628603,0.5392,0.505636822736516,0.5392,0.593948479133004,0.5392,0.552446718969828
0.549,0.577519563268015,0.549,0.587006034308069,0.549,0.521258407442596,0.549,0.501460343808737,0.549,0.587006034308069,0.549,0.546943956045289
0.5588,0.571111832856542,0.5588,0.580232191630603,0.5588,0.516679710018133,0.5588,0.497506582597972,0.5588,0.580232191630603,0.5588,0.541471266075981
0.5686,0.564864746475855,0.5686,0.573630268754891,0.5686,0.512288187263,0.5686,0.493625343772087,0.5686,0.573630268754891,0.5686,0.536261961729569
0.5784,0.558707010593614,0.5784,0.567261906850584,0.5784,0.507908658879068,0.5784,0.489842084147709,0.5784,0.567261906850584,0.5784,0.531128757387867
0.5882,0.552720968534196,0.5882,0.560961599583923,0.5882,0.503653962842035,0.5882,0.48616255887197,0.5882,0.560961599583923,0.5882,0.525985726256176
0.598,0.546868592954206,0.598,0.554836602128381,0.598,0.49946716223054,0.598,0.482608243737015,0.598,0.554836602128381,0.598,0.521098205484631
0.6078,0.541063947246316,0.6078,0.548828881309856,0.6078,0.495422662814681,0.6078,0.479161233583622,0.6078,0.548828881309856,0.6078,0.516247317327047
0.6176,0.535498976624177,0.6176,0.54292263635897,0.6176,0.491385563816466,0.6176,0.475678921136449,0.6176,0.54292263635897,0.6176,0.511529439073984
0.6274,0.529968113159666,0.6274,0.537199474804983,0.6274,0.487513378129379,0.6274,0.47241071133031,0.6274,0.537199474804983,0.6274,0.506930146856002
0.6372,0.524663814114243,0.6372,0.531526086453722,0.6372,0.4835949142816,0.6372,0.469198325125517,0.6372,0.531526086453722,0.6372,0.50237943020229
0.647,0.519403764448981,0.647,0.52598496896045,0.647,0.479907906292279,0.647,0.465985961535557,0.647,0.52598496896045,0.647,0.497944722197648
0.6568,0.514233459032522,0.6568,0.520548296018388,0.6568,0.476156635273881,0.6568,0.462822704389228,0.6568,0.520548296018388,0.6568,0.493594463260197
0.6666,0.509133090009436,0.6666,0.515246444607223,0.6666,0.472562732601954,0.6666,0.459801949265068,0.6666,0.515246444607223,0.6666,0.489192914757123
0.6764,0.504169320566769,0.6764,0.510045838510614,0.6764,0.469077278090445,0.6764,0.456726984160132,0.6764,0.510045838510614,0.6764,0.485015296906162
0.6862,0.499319205029825,0.6862,0.505003171533473,0.6862,0.465610039814625,0.6862,0.453793753215439,0.6862,0.505003171533473,0.6862,0.480949104635811
0.696,0.494642539524177,0.696,0.499974444473975,0.696,0.46213999930489,0.696,0.451028456589339,0.696,0.499974444473975,0.696,0.476980604377968
0.7058,0.489953851040628,0.7058,0.495080613997641,0.7058,0.458782565768842,0.7058,0.448150703361935,0.7058,0.495080613997641,0.7058,0.473001543693819
0.7156,0.485387669776355,0.7156,0.490293488076859,0.7156,0.455480199516627,0.7156,0.445382223316854,0.7156,0.490293488076859,0.7156,0.469164429012809
0.7254,0.480918451277884,0.7254,0.485591969001774,0.7254,0.452284731788047,0.7254,0.442687966385555,0.7254,0.485591969001774,0.7254,0.46532222101101
0.7352,0.476549149177038,0.7352,0.480930303737814,0.7352,0.449155651650143,0.7352,0.440026447811679,0.7352,0.480930303737814,0.7352,0.461614375994491
0.745,0.472181593213952,0.745,0.476421901981465,0.745,0.446147301683498,0.745,0.437427766155615,0.745,0.476421901981465,0.745,0.457965001427681
0.7548,0.467915739510231,0.7548,0.471994907290767,0.7548,0.443115707199991,0.7548,0.434972757467416,0.7548,0.471994907290767,0.7548,0.454437753745968
0.7646,0.463756220279301,0.7646,0.467677400556469,0.7646,0.440202476875701,0.7646,0.43245343241344,0.7646,0.467677400556469,0.7646,0.450912878953793
0.7744,0.459703716276745,0.7744,0.463413392175168,0.7744,0.437345705206182,0.7744,0.429948984884061,0.7744,0.463413392175168,0.7744,0.447452544626439
0.7842,0.455671092864227,0.7842,0.459154645452796,0.7842,0.434474655987508,0.7842,0.427490740100827,0.7842,0.459154645452796,0.7842,0.444056760426843
0.794,0.45176693906322,0.794,0.455058268934397,0.794,0.431632288704578,0.794,0.425086630984383,0.794,0.455058268934397,0.794,0.440777338481548
0.8038,0.447936310705234,0.8038,0.451004216996641,0.8038,0.428861777443008,0.8038,0.42278644329963,0.8038,0.451004216996641,0.8038,0.437513859642371
0.8136,0.444169887815072,0.8136,0.447016723343144,0.8136,0.426240996973422,0.8136,0.420507383071859,0.8136,0.447016723343144,0.8136,0.43440023094227
0.8234,0.440413724872959,0.8234,0.443113729369969,0.8234,0.423591311777668,0.8234,0.418182308764671,0.8234,0.443113729369969,0.8234,0.431344156136169
0.8332,0.436756267338724,0.8332,0.439260440217551,0.8332,0.420950569766167,0.8332,0.416001040880399,0.8332,0.439260440217551,0.8332,0.428234950232906
0.843,0.433140851799227,0.843,0.435484540397721,0.843,0.418384621022728,0.843,0.413767890053276,0.843,0.435484540397721,0.843,0.425175489644588
0.8528,0.429625467869804,0.8528,0.431767801806106,0.8528,0.41591383056834,0.8528,0.411550400418665,0.8528,0.431767801806106,0.8528,0.422195559732873
0.8626,0.42615019666856,0.8626,0.42812598930574,0.8626,0.413520041979089,0.8626,0.40945917230074,0.8626,0.42812598930574,0.8626,0.419334666140482
0.8724,0.422726010568838,0.8724,0.424553678504098,0.8724,0.411058508585139,0.8724,0.407506333651699,0.8724,0.424553678504098,0.8724,0.416443509500692
0.8822,0.419329411754681,0.8822,0.421055860766063,0.8822,0.408662240617227,0.8822,0.405476916626829,0.8822,0.421055860766063,0.8822,0.4136302552946
0.892,0.4160458462404,0.892,0.417612011660921,0.892,0.406336296432708,0.892,0.403432047934461,0.892,0.417612011660921,0.892,0.410870911307224
0.9018,0.412776923083365,0.9018,0.414227437672678,0.9018,0.404036986447068,0.9018,0.401424050235374,0.9018,0.414227437672678,0.9018,0.408125561634727
0.9116,0.40962190752573,0.9116,0.410895639502298,0.9116,0.40177525356317,0.9116,0.399471907733313,0.9116,0.410895639502298,0.9116,0.405420418737311
0.9214,0.406479111419212,0.9214,0.407598811471327,0.9214,0.399619301982281,0.9214,0.397506691442775,0.9214,0.407598811471327,0.9214,0.402726469626901
0.9312,0.403423336193461,0.9312,0.4043703623273,0.9312,0.397398290617828,0.9312,0.3955548552642,0.9312,0.4043703623273,0.9312,0.40018222089058
0.941,0.400379545047901,0.941,0.401160008840938,0.941,0.395296815076229,0.941,0.393737506709641,0.941,0.401160008840938,0.941,0.397631729577392
0.9508,0.397374740954796,0.9508,0.398047596068535,0.9508,0.393114395807422,0.9508,0.391865037147544,0.9508,0.398047596068535,0.9508,0.395063909191859
0.9606,0.394444599292037,0.9606,0.394968603544594,0.9606,0.39111104032364,0.9606,0.390031177456668,0.9606,0.394968603544594,0.9606,0.392568377378625
0.9704,0.391569924272763,0.9704,0.391950653677633,0.9704,0.389026462273429,0.9704,0.388258684303443,0.9704,0.391950653677633,0.9704,0.390198666499209
0.9802,0.388746241969745,0.9802,0.388982869571963,0.9802,0.387022464735044,0.9802,0.386569581443381,0.9802,0.388982869571963,0.9802,0.387802865701299
0.99,0.38593346666221,0.99,0.386057830946964,0.99,0.385111107829276,0.99,0.384815742652986,0.99,0.386057830946964,0.99,0.385485755237097
