    method     F1   Prec    Rec
   WECS_KI 0.5027 0.3831 0.7308
 WECS_Otsu 0.2632 0.1530 0.9407
   TAAD_KI 0.1960 0.1229 0.4831
 TAAD_Otsu 0.1941 0.1197 0.5121
    ECS_KI 0.3832 0.2730 0.6430
  ECS_Otsu 0.3415 0.2268 0.6911
       CVA 0.1309 0.0748 0.5228
       MAD 0.1138 0.0646 0.4757
       PCA 0.1879 0.1145 0.5223
       SFA 0.1063 0.0612 0.4038
