TP_J1,FP_J1,TP_J2,FP_J2,TP_J3,FP_J3,TP_J4,FP_J4,TP_J5,FP_J5
1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158
0.987599264247161,0.95022890230627,0.991777116798751,0.946576963791817,0.993793594764402,0.94204266094088,0.992316454218705,0.942393856944495,0.992405002153325,0.950270145965058
0.974961059033298,0.900579035973219,0.983413361883334,0.893143929120898,0.987241047602565,0.885027676994662,0.984793904682173,0.88456774770879,0.984443737849815,0.900606531745744
0.962632771590603,0.851257869102625,0.975291101335061,0.840202068931902,0.980982318587419,0.828271403271747,0.977702020100381,0.827988946699445,0.976732017725687,0.851085395620423
0.949833570131977,0.802685337129416,0.967108467195003,0.787897610742348,0.974715539760035,0.77213128481496,0.969905776947753,0.771633861293826,0.969096770817821,0.801847965875247
0.936643952779801,0.755122649892579,0.958374420916632,0.736869206359522,0.968348138279675,0.717067250910173,0.962073309640053,0.716868531463288,0.961175755575501,0.754009071105318
0.922914998007672,0.708061135600401,0.949853694662572,0.686783157089597,0.961690943558742,0.663229278498431,0.95472383106664,0.663545479882468,0.953455985639135,0.708216111772815
0.909306790419113,0.661893233915286,0.941240395567773,0.63796691258719,0.954482336699496,0.610801089332515,0.947277754746371,0.611302262277175,0.945961610445436,0.663865430690031
0.895714682455032,0.617277593569989,0.932771993093261,0.590872903291119,0.947418626460538,0.561067485874047,0.939795454271029,0.561094981646572,0.938789227741263,0.622144345306909
0.881494689136376,0.573408088506392,0.923699854700889,0.545456136119072,0.940447489062318,0.513196096100225,0.93256269797507,0.513544792488155,0.931818090343043,0.58250418998079
0.866429465532716,0.531385799433337,0.913850909427538,0.50206030822761,0.933548799974241,0.466911962285799,0.925712307760421,0.468111777814161,0.924979774846752,0.544077598069297
0.851545362704415,0.490724551100268,0.903881216970614,0.460035519538871,0.926295919147686,0.423397402649343,0.918680796770415,0.425832028325645,0.918149509162699,0.507993146053794
0.835369265011894,0.451949262800844,0.893694179583261,0.420370368055911,0.919151710786346,0.382687411810434,0.911685509935481,0.38629185762689,0.911331318197003,0.473828398883672
0.819112669196991,0.415274901483897,0.882943655339239,0.382134996744251,0.911778082776219,0.344485785310508,0.905124912961405,0.349127571635861,0.904762671410689,0.441588355790297
0.802336860492729,0.380404012883019,0.87196773635255,0.346492976704832,0.904376280423259,0.308563808314472,0.898029003473494,0.314912832152057,0.898363070681376,0.410884326534795
0.784647398099439,0.347034143500437,0.860440405227548,0.313008125000781,0.896930204102989,0.275323918947462,0.890655375463367,0.283205207199393,0.89245048359247,0.382159992901091
0.766817063991982,0.315631471661232,0.84803564456859,0.281554211040053,0.889447903627648,0.244896097225052,0.883487017665313,0.253977201005345,0.886131380985539,0.355030414073836
0.748527890586952,0.286079765236095,0.83499897364894,0.252196224830432,0.881788507283068,0.217170360057141,0.876580278764998,0.227363792816854,0.879832402909202,0.329603073527445
0.729457885394823,0.25816155766051,0.821447114746049,0.225150383128594,0.874269982652655,0.191723022585278,0.869194576036514,0.203220004924243,0.873360353869746,0.305862973567814
0.709651322382905,0.232384270918346,0.807613512414823,0.200084237048554,0.86692855389148,0.1686028273153,0.862207339013818,0.181105904967111,0.867133824103553,0.283936344786989
0.689381895167295,0.208834141750706,0.792689160525331,0.177025282362837,0.859385879824353,0.147737285392371,0.855860062064052,0.161387686643179,0.861104514737194,0.263669460820399
0.668347735789063,0.186605059472106,0.777314019150503,0.156107248510542,0.851617811014558,0.128978919491128,0.849464486240858,0.143697906446884,0.855542094480646,0.244584895072383
0.64722905338233,0.166069466819477,0.761093647490672,0.137000186221368,0.843934265233263,0.112386470580148,0.84334662893988,0.127912833401864,0.850321791244219,0.227256309342439
0.625852776983977,0.147409835737755,0.743698003244074,0.119959056295095,0.835892502807372,0.0975512514950826,0.837184497671592,0.113969977116018,0.844992815542577,0.211536226305206
0.604082059785956,0.130409949470269,0.725634224581712,0.104403947893011,0.827488498830765,0.0843757772242518,0.831388632860139,0.101538138511204,0.839696039089888,0.1976183661762
0.581872627820956,0.114836093950555,0.706805713756727,0.0905198325757415,0.819358188470254,0.0727775604500808,0.825665216358828,0.0906360647050516,0.834459636228985,0.185025302359762
0.558584521016047,0.10051454588857,0.687284919079262,0.0782679663001813,0.81042289688593,0.0626641153922584,0.820114870820638,0.0812187626152479,0.829207133743605,0.173428335393433
0.534966371909375,0.087825246868294,0.666971217896343,0.0675308671291789,0.800835570510318,0.0539504551175257,0.814761745682282,0.0732049947320599,0.824485918865942,0.163046181649571
0.512402748205898,0.0765694774428432,0.645735813212157,0.0578848502042811,0.791505838126326,0.0463616219006328,0.809698413784498,0.0663110546753437,0.819688230772017,0.153866343049756
0.489380285204848,0.0665247718163332,0.624017419793683,0.049501139199848,0.781121580339139,0.0396726503300118,0.804739729445811,0.0600795127749109,0.815341332163427,0.145265165480807
0.46634574748544,0.0575536511261394,0.601490020245278,0.0421647671670481,0.770375081001236,0.033951030029133,0.800151336470077,0.0545153682621297,0.810930035056932,0.137682581303125
0.443057640680531,0.0495098878547423,0.578294486281107,0.035896980839196,0.758344636611351,0.0290830284843705,0.795434146498533,0.0496036234428957,0.80672400816251,0.13082613548167
0.419825882561289,0.0425397095196614,0.554672312268316,0.0301728609226331,0.745589709120035,0.0249136695233108,0.790902102208466,0.0454042690936269,0.802594454484349,0.124479611259769
0.396964415805001,0.0363431622388058,0.530518850647809,0.0254435880483376,0.731659509041952,0.0214092083342186,0.786007816367683,0.0416898401870712,0.798452826087832,0.11870924845305
