TP_wecs,FP_wecs,TP_ecs,FP_ecs,TP_agg,FP_agg
0.758344636611351,0.0290830284843705,0.147923349687869,0.0929957019108312,0.938877775675882,0.939364322735379
0.745589709120035,0.0249136695233108,0.135027550482385,0.0823435896730878,0.925531186985064,0.925766413413938
0.731659509041952,0.0214092083342186,0.123319098582026,0.0726075865835628,0.91009567201845,0.910005086717917
0.716453413724125,0.018372175278051,0.112323055064741,0.0639314205440913,0.892732227020805,0.891964110518008
0.700281340937723,0.0159525472958533,0.102119918052911,0.0559601461275329,0.873010187037387,0.871529752300584
0.682386608332361,0.0137653835722758,0.0925285667711801,0.0489687210591372,0.850796730166269,0.848768251881273
0.663501748821709,0.0119319154679968,0.083327631382998,0.0425147133628205,0.826373599835784,0.823474640773981
0.642564187190334,0.0103496587399687,0.0752939187693447,0.036773096136469,0.799398679025812,0.795725157257072
0.619123133952901,0.00893362645493255,0.0679041911347418,0.031750118419293,0.769686822054876,0.765432314781602
0.594611455687796,0.00776505612262115,0.0609330537365216,0.0273407963525608,0.738127533175289,0.733405988829217
0.567853879808254,0.00681145273914136,0.0545415028194467,0.023452644155961,0.704435044052597,0.699569941121553
0.539908956623587,0.00604282091628412,0.0487053889468028,0.020036919323654,0.669128567576161,0.664452840375792
0.511456895267918,0.00529418601889959,0.0433925128696373,0.0170048854988546,0.633310928022604,0.627668495968745
0.482199852688436,0.00473802152918989,0.0383251560657348,0.0143702905678252,0.596193243792589,0.590010535880108
0.451526043155043,0.00421685165905742,0.0341432786080265,0.0121693789579852,0.557678917139258,0.551303987011997
0.421142026862223,0.00372567717713402,0.0303276676071531,0.0102109300695018,0.518411933041662,0.511973784030705
0.39017037427602,0.00332698847552189,0.0269024724998289,0.00848244582395457,0.479716485612973,0.473418461911481
0.359351668122341,0.00293079938959385,0.0236825476045771,0.0070751621938127,0.441290706894262,0.435255579454659
0.329398316784261,0.00260584935066234,0.0209254869130178,0.00588284551250245,0.404394392500795,0.397701353416912
