TP_wecs,FP_wecs,TP_nowecs,FP_nowecs,TP_agg,FP_agg
1,0.999999036542962,1,0.999999036542962,1,0.999999036542962
0.998403306095614,0.935212331479321,0.973231896308819,0.960947232421485,1,0.999999036542962
0.99699445853292,0.870466091611276,0.950596412134874,0.921962870292669,1,0.999998073085924
0.995585610970226,0.806799887082835,0.927585235277543,0.883169272657378,1,0.999998073085924
0.994458532920071,0.744549000943224,0.90213205597821,0.844314977228693,1,0.999998073085924
0.993613224382455,0.683914795713387,0.87808772424157,0.80594241031901,1,0.999996146171848
0.992204376819761,0.624718068384254,0.852634544942237,0.767671006398318,1,0.99999518271481
0.990795529257068,0.566807556200858,0.827181365642904,0.730096181916104,1,0.99998554814443
0.989574528036066,0.511865455151557,0.803794496102188,0.693307538376903,1,0.999960498261442
0.988165680473373,0.45909016898073,0.779374471682164,0.657396604199324,1,0.999930631093264
0.987320371935757,0.409619540450262,0.755142293603832,0.622183212917261,1,0.999898837011009
0.986099370714755,0.362888983735882,0.732694655771579,0.587304141227387,1,0.999850664159109
0.985160139006293,0.319007369482884,0.710247017939326,0.553563875756434,1,0.999781295252373
0.984033060956138,0.278705961583114,0.689208227669766,0.520889193769516,1,0.999622324841102
0.98346952193106,0.241613829076941,0.663191509345356,0.489142320910197,1,0.999384350952714
0.982530290222598,0.20777143715996,0.639616793462947,0.458202825048727,1,0.999034616047919
0.981872828026674,0.177796361793533,0.615478538555462,0.428484029254409,1,0.998504714677016
0.981121442659904,0.150656740489956,0.592843054381516,0.39979035174853,1,0.997748400902181
0.979806518268057,0.12679190965856,0.567389875082183,0.372276909114207,1,0.996694378902603
0.979242979242979,0.105686419784012,0.54794777871701,0.345908053441035,0.999812153658308,0.995107565161008
0.977928054851132,0.0876081119228772,0.525781910397295,0.320760861292054,0.999718230487461,0.993003374990004
0.977176669484362,0.0722390452526136,0.502958579881657,0.296641677802624,0.999718230487461,0.990226691806472
0.976237437775899,0.0593075248885039,0.482201559124636,0.273921433932379,0.999342537804076,0.986533760979797
0.974265051188128,0.0485428194028686,0.462289846905232,0.252527870403467,0.99924861463323,0.981732854559416
0.973325819479666,0.0395556921523534,0.441814595660749,0.232302980261656,0.998778998778999,0.975705467329654
0.971635202404433,0.0321601959286233,0.421245421245421,0.212960616766657,0.99849722926646,0.967940003603329
0.970226354841739,0.025976728658704,0.399455245609092,0.194658786872705,0.997276228045459,0.958443207579709
0.968629660937353,0.0210274498544698,0.382549074856767,0.17761426841335,0.995773457311919,0.946835477185819
0.967596506058044,0.0170088705489489,0.362731285808209,0.161618954668383,0.99398891706584,0.932968440037806
0.96646942800789,0.0138015220694286,0.342443880905419,0.146702712805982,0.991640837794684,0.916290035252893
0.96496665727435,0.0111818823830917,0.323941016248709,0.132827968001665,0.988541373156758,0.897010296465365
0.963557809711656,0.00920197816999043,0.304686766225228,0.120113225471106,0.984878369493754,0.875268924945733
0.962055038978116,0.00748124390011263,0.286465671081056,0.108196225368016,0.980651826805673,0.850574557604615
0.960364421902883,0.00614011170320899,0.270029116182962,0.0970904560909272,0.973325819479666,0.822591911392783
0.959519113365267,0.00503117265246467,0.252089790551329,0.0871244564897984,0.968160045083122,0.792034907975401
0.95820418897342,0.00422861293980609,0.236122851507467,0.0779610166013282,0.961867192636423,0.758772517195299
0.956607495069034,0.00353781424355616,0.219498450267681,0.0695953191403266,0.952005259697567,0.722854838818455
0.954635108481262,0.0030358531267553,0.20249835634451,0.0620023142238053,0.940640556025171,0.685253037539177
0.953132337747722,0.00260133400261482,0.189349112426035,0.0550509716945957,0.927960927960928,0.645668441675683
0.95219310603926,0.00227568552376897,0.176857330703485,0.0487499626660398,0.912181835258758,0.604550022207685
0.950502488964027,0.00199339261163336,0.162862778247394,0.0430347355165912,0.895839203531511,0.562424790134971
0.948811871888795,0.00179781083291824,0.14943176481638,0.0379428650707322,0.873485488870104,0.520007630579741
0.947309101155255,0.00162631548015327,0.136752136752137,0.0333182712883058,0.85056823518362,0.477365022077618
0.946088099934254,0.00150202952225056,0.125011740396356,0.0292187615915925,0.823142669296515,0.435279291743462
0.944585329200714,0.00137678010730984,0.112332112332112,0.0255817112731218,0.796092796092796,0.394150274248046
0.942331173100404,0.00128717860277533,0.103409411101719,0.0223820704499055,0.765285996055227,0.354787273503294
0.940077017000094,0.00120913858269689,0.093641401333709,0.019476284023281,0.732318963088194,0.316973511675654
0.938480323095708,0.00115518498856858,0.0850943927867005,0.0169173421303384,0.698600544754391,0.281241780507144
0.936789706020475,0.00110412176555429,0.0772048464356157,0.0146040817820872,0.662909739832817,0.247260650776691
0.93415985723678,0.00106943731218609,0.0695031464262234,0.0126453736238221,0.625904010519395,0.215701652039783
0.932281393819855,0.00102993557362787,0.061801446416831,0.010876466502044,0.58899220437682,0.187095649124362
0.930496853573777,0.000983689635803605,0.0552268244575937,0.0093358986982732,0.550483704329858,0.161102541696012
0.928336620644313,0.000955749381701446,0.0490278951817413,0.00794755710650728,0.514605053066592,0.137728110496961
0.926082464544003,0.000918174557219232,0.0431107354184277,0.0067750298912546,0.47609655301963,0.116902986620472
0.922795153564384,0.000882526646813029,0.0390720390720391,0.00582891507993321,0.437775899314361,0.098453747799705
0.921104536489152,0.000855549849748875,0.0351272658964967,0.00499070745686844,0.400394477317554,0.0825181683910942
0.918380764534611,0.000833390337874749,0.0312764158918005,0.00423053985388211,0.365548980933596,0.0686472774149292
0.916971916971917,0.000808340454886606,0.0277073353996431,0.00359369475176048,0.330139945524561,0.056508682193098
