TP_ha,FP_ha,TP_d2,FP_d2,TP_d4,FP_d4,TP_c4,FP_c4,TP_s2,FP_s2,TP_s4,FP_s4
1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158,1,0.999998750192158
0.990851388391366,0.942410104446441,0.993793594764402,0.94204266094088,0.982378961010734,0.946459481854665,0.975645293073539,0.946538219748714,0.993793594764402,0.94204266094088,0.984230417825504,0.944568522589652
0.982077093051805,0.884912694673194,0.987241047602565,0.885027676994662,0.964375555940158,0.893343898375625,0.951664902416151,0.893770082849762,0.987241047602565,0.885027676994662,0.9687546537977,0.889549481767178
0.973137776561362,0.82818766614633,0.980982318587419,0.828271403271747,0.946311777277795,0.840670746872668,0.927926006125907,0.841011944413546,0.980982318587419,0.828271403271747,0.954051671744757,0.834761655395483
0.964371531034039,0.771871324783814,0.974715539760035,0.77213128481496,0.928203724648123,0.788540011973159,0.904935742373809,0.789556105748741,0.974715539760035,0.77213128481496,0.939368814222408,0.78128362764225
0.955243043956,0.716879779733866,0.968348138279675,0.717067250910173,0.910055422957259,0.737112918888721,0.882444566980475,0.739103862781097,0.968348138279675,0.717067250910173,0.924923426161085,0.728281776676836
0.946009909318865,0.663446745062947,0.961690943558742,0.663229278498431,0.89240620962516,0.687081861163846,0.860074138770713,0.689996413051493,0.961690943558742,0.663229278498431,0.910755756621977,0.677252122486168
0.936998144518279,0.611755942523837,0.954482336699496,0.610801089332515,0.875368782023159,0.638043150865554,0.838387944601192,0.642308745030452,0.954482336699496,0.610801089332515,0.897063026004918,0.627486024023806
0.928260073333789,0.562052334453578,0.947418626460538,0.561067485874047,0.858677496347398,0.590751671930441,0.817055942170149,0.596222080855069,0.947418626460538,0.561067485874047,0.883978056211839,0.579023475140697
0.919594450459443,0.514343419699221,0.940447489062318,0.513196096100225,0.842497373748757,0.546121033891039,0.796464522465014,0.552313831748369,0.940447489062318,0.513196096100225,0.870937360386069,0.532596863232278
0.910832229838239,0.469127871589743,0.933548799974241,0.466911962285799,0.82707795840662,0.502998913916985,0.776738457575477,0.510394026918361,0.933548799974241,0.466911962285799,0.858564798976064,0.488629873157002
0.90235175264537,0.426270710878202,0.926295919147686,0.423397402649343,0.811924186868341,0.462438900019122,0.758300362644041,0.470846357372554,0.926295919147686,0.423397402649343,0.846518254961703,0.44640761482922
0.894100695101287,0.385188277302365,0.919151710786346,0.382687411810434,0.797547222211042,0.42382358712348,0.740063513018559,0.433252137483862,0.919151710786346,0.382687411810434,0.834745404563439,0.406513748511166
0.886058932675395,0.346879167328023,0.911778082776219,0.344485785310508,0.783886690842936,0.387855367237287,0.72305828466551,0.397707602456122,0.911778082776219,0.344485785310508,0.823906332384797,0.36963191909244
0.87798899590667,0.311315885182653,0.904376280423259,0.308563808314472,0.770950642576262,0.353981825294361,0.706676916760917,0.364988882959245,0.904376280423259,0.308563808314472,0.813155808140775,0.335258454012696
0.870084080288827,0.278714647622928,0.896930204102989,0.275323918947462,0.758533807198947,0.322634145000206,0.691849162618282,0.334192367923432,0.896930204102989,0.275323918947462,0.803306862867424,0.302937173409588
0.862460908099319,0.248436802841563,0.889447903627648,0.244896097225052,0.746877679078136,0.293738587692142,0.677520496834411,0.305945460885389,0.889447903627648,0.244896097225052,0.793775885177478,0.273155502341515
0.855063130652478,0.220561088732607,0.881788507283068,0.217170360057141,0.73549524457342,0.267073937382127,0.663896189621377,0.280346896664638,0.881788507283068,0.217170360057141,0.784703746785106,0.245620985773437
0.847584855083255,0.195243731276316,0.874269982652655,0.191723022585278,0.725115011692352,0.242303995760652,0.651334457623776,0.256708031140212,0.874269982652655,0.191723022585278,0.776661984359215,0.220679820477602
0.840364173505653,0.172123536006339,0.86692855389148,0.1686028273153,0.71522581735781,0.219816203258749,0.639255714360463,0.234922630645538,0.86692855389148,0.1686028273153,0.768817442333158,0.198034552187601
0.833143491928051,0.151491708149872,0.859385879824353,0.147737285392371,0.705578117390412,0.19890816786919,0.62786120513739,0.215464372352751,0.859385879824353,0.147737285392371,0.761262693547673,0.17744896722129
0.82591878544433,0.132930811887672,0.851617811014558,0.128978919491128,0.696542203153111,0.180384765842252,0.617134830330083,0.197959563717079,0.851617811014558,0.128978919491128,0.753736119105022,0.158409394555587
0.819068395229681,0.116177137765069,0.843934265233263,0.112386470580148,0.688254921453957,0.163663586723541,0.60703231597123,0.182110750472115,0.843934265233263,0.112386470580148,0.746652284335468,0.141493245413518
0.812213980108914,0.101521891009257,0.835892502807372,0.0975512514950826,0.679629547640801,0.148240957952715,0.59721959485295,0.168016667437382,0.835892502807372,0.0975512514950826,0.739834093369772,0.126361821869888
0.805037572498622,0.0884951438716297,0.827488498830765,0.0843757772242518,0.671293967068218,0.13473928383511,0.587901937187315,0.155294873413213,0.827488498830765,0.0843757772242518,0.73278648275529,0.11276641216413
0.797760542235352,0.0774330946616958,0.819358188470254,0.0727775604500808,0.662950336683397,0.12274987720638,0.578580254615561,0.144089096301444,0.819358188470254,0.0727775604500808,0.725175385284138,0.10085074419808
0.790044797205105,0.0677245873446957,0.81042289688593,0.0626641153922584,0.654477909302766,0.112096515160794,0.569669112467952,0.134046890290618,0.81042289688593,0.0626641153922584,0.717612586686416,0.0901786350348634
0.782425649921716,0.0591846503600071,0.800835570510318,0.0539504551175257,0.646061830607801,0.102876682710033,0.560721746165271,0.125209499039523,0.800835570510318,0.0539504551175257,0.709635222758429,0.0808925627684743
