FP_wecs,f1_score_wecs,FP_taad,f1_score_taad,FP_ecs,f1_score_ecs
0.918090190697014,0.01,0.114418208489093,0.01,0.0562153977192069,0.01
0.653634308637652,0.0198,0.117991658441848,0.0198,0.0628482282148429,0.0198
0.494710327455919,0.0296,0.113278157610651,0.0296,0.0629003238575027,0.0296
0.398029291199169,0.0394,0.108504455264525,0.0394,0.0615076692134486,0.0394
0.333017336953902,0.0492,0.102318556485692,0.0492,0.0597715185500587,0.0492
0.286155585894943,0.059,0.0967274833478135,0.059,0.0571207921338243,0.059
0.25109616011789,0.0688,0.0918721086134631,0.0688,0.0551039389290848,0.0688
0.223521194863805,0.0786,0.0874872401010047,0.0786,0.0536614194380272,0.0786
0.20143021646781,0.0884,0.0837615273705499,0.0884,0.0517897059250443,0.0884
0.183282431326298,0.0982,0.0803576929508788,0.0982,0.0502565637184576,0.0982
0.168161235905176,0.108,0.0775669327564915,0.108,0.0486387447232693,0.108
0.155415930654622,0.1178,0.0747564638627403,0.1178,0.0472240234331328,0.1178
0.144400983073142,0.1276,0.0721104918827235,0.1276,0.0461213610716882,0.1276
0.13487503312414,0.1374,0.0696867264301549,0.1374,0.0451134622966501,0.1374
0.126547755413735,0.1472,0.0675769862482348,0.1472,0.0439038285544586,0.1472
0.119196909963314,0.157,0.0652239649004696,0.157,0.0429729621790008,0.157
0.112595594694663,0.1668,0.0633579270165832,0.1668,0.0422206533045179,0.1668
0.106727400855862,0.1766,0.0616465637862184,0.1766,0.0412713327137357,0.1766
0.101444915624303,0.1864,0.0600673452950481,0.1864,0.0402130983687689,0.1864
0.0966549279501613,0.1962,0.0586381240236993,0.1962,0.0392461340801745,0.1962
0.0922904515252323,0.206,0.057312026260291,0.206,0.0386668666778438,0.206
0.088304562529017,0.2158,0.0558561600472713,0.2158,0.0379183725150888,0.2158
0.084650048947032,0.2256,0.0544323357847301,0.2256,0.0372887389464657,0.2256
0.081295003145851,0.2354,0.0531920677950303,0.2354,0.0366239193419346,0.2354
0.0782049462574414,0.2452,0.0521366308382943,0.2452,0.0360549451370267,0.2452
0.0753361099721617,0.255,0.0511160505549681,0.255,0.0354345152031766,0.255
0.0726648399292428,0.2648,0.0501127258853318,0.2648,0.0348513752558011,0.2648
0.0701774363165051,0.2746,0.0490511946306927,0.2746,0.0342815805161662,0.2746
0.0678425963698998,0.2844,0.0480862003095233,0.2844,0.0338403558870952,0.2844
0.0656643834328723,0.2942,0.0471708163866415,0.2942,0.0333272753479686,0.2942
0.0636342110535679,0.304,0.046276114554937,0.304,0.0329190623349342,0.304
0.0617386440578174,0.3138,0.0454590950572581,0.3138,0.032417792693338,0.3138
0.0599429658881148,0.3236,0.0446843407645314,0.3236,0.0320031088734334,0.3236
0.0582386284775234,0.3334,0.0438871647392586,0.3334,0.0316453939296362,0.3334
0.0566396234460944,0.3432,0.0431935830378011,0.3432,0.0312049617022655,0.3432
0.0551164146493905,0.353,0.0425164262041944,0.353,0.0307988046030137,0.353
0.0536885979492163,0.3628,0.0418390569463267,0.3628,0.0303833073362825,0.3628
0.0523189467442058,0.3726,0.0411266089608468,0.3726,0.0300140028803078,0.3726
0.0510322577510434,0.3824,0.0405323330628586,0.3824,0.0297263022870498,0.3824
0.0497891675495794,0.3922,0.0399906138673,0.3922,0.0294572871706261,0.3922
0.0486284491236189,0.402,0.0393590559379881,0.402,0.0292242725747672,0.402
0.0475126059156833,0.4118,0.0387703949137871,0.4118,0.0289342774680134,0.4118
0.046447417538605,0.4216,0.0381731153653305,0.4216,0.0286795353491177,0.4216
0.0454208720029892,0.4314,0.0376455444133191,0.4314,0.0283540279436634,0.4314
0.0444431297395405,0.4412,0.037094398864095,0.4412,0.02805110727499,0.4412
0.0435028073331886,0.451,0.0365914942457425,0.451,0.0278065576821665,0.451
0.042609718709437,0.4608,0.0360973693429534,0.4608,0.0275843355317912,0.4608
0.0417490731134462,0.4706,0.0356313243021819,0.4706,0.0273513361250687,0.4706
0.0409189261697995,0.4804,0.0351877880878645,0.4804,0.0271276461313846,0.4804
0.0401365458326265,0.4902,0.0346930101265775,0.4902,0.0268898465479483,0.4902
0.0393730079355436,0.5,0.0342359352070812,0.5,0.0267172647144046,0.5
0.0386382519795089,0.5098,0.0338291046952464,0.5098,0.0265511884389713,0.5098
0.0379342810902865,0.5196,0.0333905203902162,0.5196,0.0263300491280624,0.5196
0.0372452776162457,0.5294,0.033010288760488,0.5294,0.026078057419803,0.5294
0.0365912724659268,0.5392,0.032629735139461,0.5392,0.0258489442555105,0.5392
0.0359601920469372,0.549,0.0322045316937141,0.549,0.0256278621560083,0.549
0.0353542041365022,0.5588,0.0318610237164154,0.5588,0.025407691366447,0.5588
0.0347654428400292,0.5686,0.0314698278205933,0.5686,0.0251916812085679,0.5686
0.0341865661605171,0.5784,0.031078696509561,0.5784,0.025012031247215,0.5784
0.0336362143958025,0.5882,0.0306748759600841,0.5882,0.0248637672751383,0.5882
0.0331098722743631,0.598,0.030296615153012,0.598,0.0246544194324873,0.598
0.0325847916033279,0.6078,0.0299766501895918,0.6078,0.0244825771523726,0.6078
0.0320851715462865,0.6176,0.0296605534692092,0.6176,0.0242917562985379,0.6176
0.0316039513914235,0.6274,0.0293243024932538,0.6274,0.0241666716527754,0.6274
0.0311343547436653,0.6372,0.0289717147908073,0.6372,0.024042427813789,0.6372
0.0306729591510951,0.647,0.0286586675490077,0.647,0.0238551335411479,0.647
0.0302251226849998,0.6568,0.0283233621981491,0.6568,0.0236819226941512,0.6568
