TP_wecs,FP_wecs,TP_nowecs,FP_nowecs,TP_agg,FP_agg
0.788149066423026,0.00709265950360132,0.146224839305623,0.112286485952785,0.738043010146788,0.312145757589771
0.784349555046629,0.0061465549671738,0.134456013813478,0.102241780326275,0.697319010034091,0.269148618399921
0.781399298861354,0.00535292698747568,0.123512294075741,0.0930094497970937,0.654824051229005,0.229512212497329
0.779012529532749,0.00471927441155922,0.112508200746218,0.0842270500910485,0.611282616832962,0.19388893957554
0.776344016775809,0.00421185242768924,0.102538508289294,0.0762232806705969,0.565708604846792,0.162087579034723
0.773727827798417,0.00376067179671126,0.0933456227133502,0.0688944074848492,0.519100191988022,0.134349343788393
0.770242259099307,0.00334948501667869,0.0844948541575268,0.0620379616633943,0.473216262230683,0.109916850284269
0.766201253355765,0.00300078862874833,0.0766140879763979,0.0558014205315933,0.427114987542916,0.0890513083613394
0.760397338732074,0.00270958340155201,0.0689707912562939,0.050092298309135,0.382607575678297,0.0714890085649331
0.752081882690086,0.00242087779003978,0.062136500666122,0.0448206088313922,0.339746350416377,0.0566262937073425
0.739624798251581,0.00214716987263208,0.0556886010633802,0.0399726042121024,0.300213722514922,0.0442306995299473
0.72155296977698,0.00191720522969593,0.0499772592804273,0.0355282875257929,0.262411804244666,0.034344719499377
0.695511827186631,0.00167724212402343,0.0447006073583334,0.031636385905667,0.227829810869661,0.0264209377808162
0.659207173992667,0.00150101921829519,0.0396292256483118,0.0280181922029488,0.195650686447739,0.0201881460725413
0.610618507323317,0.0013347947753033,0.0350247330481017,0.0247411960411087,0.16694103110045,0.0153626379944084
0.549037443701626,0.00114732359899665,0.0311084993942516,0.0217541552986228,0.141197731562911,0.0115769700408562
0.476226892007744,0.000996096850109296,0.027526332948284,0.0191720522969593,0.118734730512411,0.00865491930615668
0.398059190269387,0.000853618756116247,0.0242460344612462,0.0168174143225479,0.099298458863447,0.00631152960232364
0.320076634212507,0.000751134513068616,0.0214446998023771,0.0146852421440204,0.082212732388017,0.00456179862346164
0.249677001283945,0.000674896234703914,0.0186594647679843,0.0127680369143244,0.0670871351925716,0.0033132405892594
0.191541257300173,0.000623654113180099,0.0164135671535461,0.0110795465197226,0.0545696771622802,0.00232089316267624
0.14972248272309,0.000566162952446061,0.0142843918165609,0.00956227979948083,0.0440163733180924,0.00162100077113144
0.120916229628944,0.000522419677974511,0.0122920632876238,0.00829247503196383,0.0353185511947934,0.00116732052446936
0.10328714082744,0.000462428901556386,0.0106418517788073,0.00719264413096486,0.0281421435845009,0.00083112221495945
0.093828611447638,0.00042868408982119,0.00914458670251516,0.00619654728085557,0.022434826707667,0.000571162183814239
0.0888981014517836,0.000383691007507596,0.00780026805874753,0.00537792314431656,0.0177900850462663,0.00038494081534964
0.0866320793067502,0.00035869485066671,0.00668536906376659,0.00462678863124795,0.0139141004536069,0.000241212913514547
0.0853883833159592,0.00031495157619516,0.00570329197071478,0.00398563720827923,0.0108390721786414,0.000172473482202111
0.0843700820678358,0.000273707917407699,0.00480573790616334,0.00343072252641156,0.00834363038482127,0.000108733282257853
0.0835409514073084,0.00023621368214637,0.00408125480473168,0.0028870561151223,0.00643179997826551,7.12390469965243e-05
0.0827842690569243,0.000206218293937307,0.00348154379299103,0.00244087471551249,0.00490636055913996,4.49930823135943e-05
0.0818504908373012,0.000184971560622554,0.00292208184244102,0.00205593390016285,0.00365863966222988,2.99953882090629e-05
0.0806188695648674,0.000156225980255536,0.00240689385920073,0.00175722982591427,0.00285768334453599,2.74957725249743e-05
0.0792463765782663,0.000136229054782827,0.00201647796565145,0.00147352344577021,0.00227004705115253,1.24980784204429e-05
0.0777249620652598,0.000111232897941941,0.00171863491284066,0.001213563414625,0.00168241075776907,4.99923136817714e-06
0.0758372810954184,9.49853959953657e-05,0.00140469223555361,0.000968601077584321,0.00125174580302914,2.49961568408857e-06
0.0736155329176947,7.74880862067457e-05,0.00114709824393346,0.000801126826750387,0.000998176717528064,1.24980784204429e-06
0.0709309205362785,6.37401999442586e-05,0.000945852937980222,0.000687394313124357,0.000732532913669789,1.24980784204429e-06
0.0676787963920742,5.249192936586e-05,0.000780831787098566,0.000573661799498327,0.000515187983240291,0
0.0640322314482015,3.499461957724e-05,0.000595686105621586,0.000447431207451854,0.000358216644596765,0
0.0600153751413748,1.99969254727086e-05,0.000499088358764032,0.000357445042824666,0.000277718522215469,0
0.0556966508756183,9.99846273635429e-06,0.000374316269073024,0.000292455035038363,0.000217344930429498,0
0.0511485069610751,4.99923136817714e-06,0.000309917771167987,0.000233714066462281,0.000144896620286332,0
0.0463870430222215,3.74942352613286e-06,0.000241494367143886,0.000197469639042997,0.000100622652976619,0
0.041754376079178,1.24980784204429e-06,0.000201245305953239,0.000159975403781669,6.43984979050364e-05,0
0.0370532857321103,1.24980784204429e-06,0.000165021150881656,0.000129980015572606,4.42739673097125e-05,0
0.0321831493280419,1.24980784204429e-06,0.000144896620286332,0.000107483474415809,2.81743428334534e-05,0
0.0273049631117354,1.24980784204429e-06,0.000108672465214749,8.99861646271886e-05,2.01245305953239e-05,0
0.0225877731401915,0,6.43984979050364e-05,7.62382783647014e-05,8.04981223812955e-06,0
0.0180114548828149,0,4.42739673097125e-05,5.37417372079043e-05,4.02490611906477e-06,0
0.0138376272373447,0,3.6224155071583e-05,4.12436587874614e-05,4.02490611906477e-06,0
0.0101186139833288,0,3.6224155071583e-05,3.499461957724e-05,4.02490611906477e-06,0
0.00694296305538673,0,2.81743428334534e-05,2.24965411567971e-05,4.02490611906477e-06,0
0.00458839297573384,0,1.60996244762591e-05,1.87471176306643e-05,4.02490611906477e-06,0
0.0029703807158698,0,1.60996244762591e-05,9.99846273635429e-06,4.02490611906477e-06,0
0.00167838585165001,0,1.20747183571943e-05,6.24903921022143e-06,4.02490611906477e-06,0
0.000961952562456481,0,8.04981223812955e-06,4.99923136817714e-06,4.02490611906477e-06,0
0.000499088358764032,0,4.02490611906477e-06,4.99923136817714e-06,4.02490611906477e-06,0
0.00026161889773921,0,4.02490611906477e-06,4.99923136817714e-06,4.02490611906477e-06,0
0.000100622652976619,0,0,2.49961568408857e-06,4.02490611906477e-06,0
5.2323779547842e-05,0,0,2.49961568408857e-06,4.02490611906477e-06,0
8.04981223812955e-06,0,0,2.49961568408857e-06,4.02490611906477e-06,0
